,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
0,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.8912794033275961,0.6686007929091398,0.881578947368421,0.9047619047619048,0.8072289156626506,0.5355069227333631
1,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.7687894434882386,0.5517941081564426,0.7755102040816326,0.6666666666666666,0.6867469879518072,0.24728588661037398
2,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.8772231784279977,0.6738562174897578,0.8111888111888113,0.9047619047619048,0.6987951807228916,0.45637314032971454
3,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8181296615031556,0.5847883100646101,0.5901639344262295,0.8571428571428571,0.43373493975903615,0.1232372777437154
4,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8763625932300632,0.6715425003627251,0.7913669064748201,0.9523809523809523,0.6626506024096386,0.37747848858959976
5,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.8964429145152035,0.6937787729349771,0.8333333333333334,0.9523809523809523,0.7228915662650602,0.4287956061200471
6,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.8169822145725759,0.5384869588395644,0.7445255474452556,0.8571428571428571,0.6144578313253012,0.29966329966329974
7,Domain expert*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,Domain expert,0.8657487091222031,0.6704341990804239,0.8137931034482758,0.8571428571428571,0.7108433734939759,0.41455568958584643
8,All + Clusters*ExtraTreesClassifier,ExtraTreesClassifier,All + Clusters,0.8930005737234653,0.6968532590039589,0.8111888111888113,0.9047619047619048,0.6987951807228916,0.3879952922714791
9,All + Clusters*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All + Clusters,0.8301778542742398,0.60779055740326,0.6129032258064516,0.8571428571428571,0.4578313253012048,0.1880178457616315
10,All + Clusters*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All + Clusters,0.8973034997131382,0.7359154136106778,0.7737226277372263,0.9523809523809523,0.6385542168674698,0.38985616956850866
11,All + Text*ExtraTreesClassifier,ExtraTreesClassifier,All + Text,0.8648881239242685,0.6550468112519932,0.7857142857142856,0.9047619047619048,0.6626506024096386,0.36269628494829576
12,All + Text*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All + Text,0.8227194492254732,0.5868086314722634,0.6016260162601625,0.8571428571428571,0.4457831325301205,0.1880178457616315
13,All + Text*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All + Text,0.8760757314974182,0.680223776850787,0.7857142857142856,0.9047619047619048,0.6626506024096386,0.3751937984496124
14,Clusters*ExtraTreesClassifier,ExtraTreesClassifier,Clusters,0.9130808950086058,0.7486116419532556,0.8275862068965517,0.9047619047619048,0.7228915662650602,0.45697577276524637
15,Text*ExtraTreesClassifier,ExtraTreesClassifier,Text,0.8904188181296615,0.7370861851334158,0.7591240875912408,0.9047619047619048,0.6265060240963856,0.3385708941264498
16,Lasso*RandomForestClassifier,RandomForestClassifier,Lasso,0.882960413080895,0.6431925953551707,0.8860759493670886,0.7619047619047619,0.8433734939759037,0.5113748763600396
17,Greedy selection*RandomForestClassifier,RandomForestClassifier,Greedy selection,0.7269076305220883,0.4504194023669556,0.6461538461538462,0.7619047619047619,0.5060240963855421,0.1633438265127667
18,All*RandomForestClassifier,RandomForestClassifier,All,0.8734939759036144,0.7134221538543268,0.7175572519083969,0.9523809523809523,0.5662650602409639,0.29826989619377164
19,All*Voting + RandomForestClassifier,Voting + RandomForestClassifier,All,0.7928858290304074,0.4871329628005009,0.49557522123893805,0.9047619047619048,0.3373493975903614,0.12592592592592589
20,All*Orthogonal small + RandomForestClassifier,Orthogonal small + RandomForestClassifier,All,0.8307515777395295,0.593146016370963,0.7164179104477613,0.8571428571428571,0.5783132530120482,0.21670660732625813
21,Domain expert*RandomForestClassifier,RandomForestClassifier,Domain expert,0.8720596672403901,0.6365884709834164,0.8378378378378377,0.8571428571428571,0.7469879518072289,0.44253859348198976
22,Domain expert*Voting + RandomForestClassifier,Voting + RandomForestClassifier,Domain expert,0.7819850831899025,0.5038739201208564,0.6870229007633587,0.8571428571428571,0.5421686746987951,0.23609653725078694
23,Domain expert*Orthogonal small + RandomForestClassifier,Orthogonal small + RandomForestClassifier,Domain expert,0.8405048766494548,0.6161821463618877,0.7681159420289854,0.9047619047619048,0.6385542168674698,0.3155393053016452
24,All + Clusters*RandomForestClassifier,RandomForestClassifier,All + Clusters,0.8881239242685025,0.724082982574038,0.8251748251748251,0.9523809523809523,0.7108433734939759,0.4155038759689922
25,All + Clusters*Voting + RandomForestClassifier,Voting + RandomForestClassifier,All + Clusters,0.8095238095238095,0.5558510374876885,0.5714285714285714,0.9047619047619048,0.40963855421686746,0.12463083284111043
26,All + Clusters*Orthogonal small + RandomForestClassifier,Orthogonal small + RandomForestClassifier,All + Clusters,0.865748709122203,0.6391900009455616,0.7647058823529412,0.9523809523809523,0.6265060240963856,0.3196605374823197
27,All + Text*RandomForestClassifier,RandomForestClassifier,All + Text,0.8602983362019507,0.6534532290185522,0.6923076923076923,0.9047619047619048,0.5421686746987951,0.2144499178981938
28,All + Text*Voting + RandomForestClassifier,Voting + RandomForestClassifier,All + Text,0.8026391279403328,0.527347915919401,0.5344827586206897,0.9047619047619048,0.37349397590361444,0.11735440444834655
29,All + Text*Orthogonal small + RandomForestClassifier,Orthogonal small + RandomForestClassifier,All + Text,0.8482501434308662,0.6392092075716207,0.6923076923076923,0.9047619047619048,0.5421686746987951,0.28791509756932554
30,Clusters*RandomForestClassifier,RandomForestClassifier,Clusters,0.901893287435456,0.730400641723129,0.8085106382978723,0.9523809523809523,0.6867469879518072,0.4155038759689922
