,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
0,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.8631669535283993,0.6130459904810125,0.8513513513513513,0.9047619047619048,0.7590361445783133,0.5028248587570621
1,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.8657487091222031,0.6889739087847095,0.75,0.9047619047619048,0.6144578313253012,0.3385708941264498
2,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.8602983362019505,0.606744434037974,0.7943262411347517,0.9047619047619048,0.6746987951807228,0.40111199364575056
3,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.7860011474469305,0.5317919270721851,0.5423728813559322,0.8571428571428571,0.3855421686746988,0.11569996963255391
4,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8399311531841652,0.6228858251378053,0.75,0.9047619047619048,0.6144578313253012,0.3044107013738251
5,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.878944348823867,0.6691890365928401,0.8055555555555556,0.8571428571428571,0.6987951807228916,0.41455568958584643
6,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.7923121055651177,0.5008006158936478,0.6870229007633587,0.8571428571428571,0.5421686746987951,0.2262975778546713
7,Domain expert*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,Domain expert,0.846815834767642,0.6115257980153597,0.8082191780821918,0.8095238095238095,0.7108433734939759,0.3567010309278351
8,All + Clusters*ExtraTreesClassifier,ExtraTreesClassifier,All + Clusters,0.870051635111876,0.6466963438384268,0.7943262411347517,0.9047619047619048,0.6746987951807228,0.40111199364575056
9,All + Clusters*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All + Clusters,0.8100975329890993,0.5355266078367622,0.5901639344262295,0.8571428571428571,0.43373493975903615,0.14673398548438
10,All + Clusters*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All + Clusters,0.8666092943201376,0.6415220253764577,0.7857142857142856,0.9047619047619048,0.6626506024096386,0.3751937984496124
